;KabupatenKota;Provinsi;Pulau;PusatPemerintahan;Kecamatan;KelurahanDesa
434;Kota Jayapura;Papua;Kepulauan Maluku;-;0;0
435;Kota Kediri;Jawa Timur;Jawa;-;0;0
436;Kota Kendari;Sulawesi Tenggara;Sulawesi;-;0;0
437;Kota Kotamobagu;Sulawesi Utara;Sulawesi;-;0;0
438;Kota Kupang;Nusa Tenggara Timur;Kepulauan Nusa Tenggara;Kupang;0;0
439;Kota Langsa;Aceh;Sumatera;-;5;52
440;Kota Lhokseumawe;Aceh;Sumatera;-;4;67
441;Kota Lubuklinggau;Sumatera Selatan;Sumatera;-;0;0
442;Kota Madiun;Jawa Timur;Jawa;-;0;0
443;Kota Magelang;Jawa Tengah;Jawa;-;0;0
444;Kota Makassar;Sulawesi Selatan;Sulawesi;-;0;0
445;Kota Malang;Jawa Timur;Jawa;-;0;0
446;Kota Manado;Sulawesi Utara;Sulawesi;-;0;0
447;Kota Mataram;Nusa Tenggara Barat;Kepulauan Nusa Tenggara;-;0;0
448;Kota Medan;Sumatera Utara;Sumatera;-;0;0
449;Kota Metro;Lampung;Sumatera;-;0;0
450;Kota Mojokerto;Jawa Timur;Jawa;-;0;0
451;Kota Padang;Sumatera Barat;Sumatera;Padang;11;104
452;Kota Padangpanjang;Sumatera Barat;Sumatera;Padangpanjang;2;16
453;Kota Padangsidempuan;Sumatera Utara;Sumatera;-;0;0
454;Kota Pagar Alam;Sumatera Selatan;Sumatera;-;0;0
455;Kota Palangka Raya;Kalimantan Tengah;Kalimantan;-;0;0
456;Kota Palembang;Sumatera Selatan;Sumatera;-;0;0
457;Kota Palopo;Sulawesi Selatan;Sulawesi;-;0;0
458;Kota Palu;Sulawesi Tengah;Sulawesi;-;0;0
459;Kota Pangkal Pinang;Kepulauan Bangka Belitung;Sumatera;-;0;0
460;Kota Parepare;Sulawesi Selatan;Sulawesi;-;0;0
461;Kota Pariaman;Sumatera Barat;Sumatera;Pariaman;4;71
462;Kota Pasuruan;Jawa Timur;Jawa;-;0;0
463;Kota Payakumbuh;Sumatera Barat;Sumatera;Payakumbuh;5;76
464;Kota Pekalongan;Jawa Tengah;Jawa;-;0;0
465;Kota Pekanbaru;Riau;Sumatera;-;0;0
466;Kota Pematangsiantar;Sumatera Utara;Sumatera;-;0;0
467;Kota Pontianak;Kalimantan Barat;Kalimantan;-;0;0
468;Kota Prabumulih;Sumatera Selatan;Sumatera;-;0;0
469;Kota Probolinggo;Jawa Timur;Jawa;-;0;0
470;Kota Sabang;Aceh;Sumatera;-;2;18
471;Kota Salatiga;Jawa Tengah;Jawa;-;0;0
472;Kota Samarinda;Kalimantan Timur;Kalimantan;-;0;0
473;Kota Sawahlunto;Sumatera Barat;Sumatera;Sawahlunto;4;37
474;Kota Semarang;Jawa Tengah;Jawa;-;0;0
475;Kota Serang;Banten;Jawa;-;0;0
476;Kota Sibolga;Sumatera Utara;Sumatera;-;0;0
477;Kota Singkawang;Kalimantan Barat;Kalimantan;-;0;0
478;Kota Solok;Sumatera Barat;Sumatera;Solok;2;13
479;Kota Sorong;Papua Barat;Kepulauan Maluku;-;0;0
480;Kota Subulussalam;Aceh;Sumatera;-;5;74
481;Kota Sukabumi;Jawa Barat;Jawa;Cisaat;0;0
482;Kota Sungai Penuh;Jambi;Sumatera;Sungai Penuh;0;0
483;Kota Surabaya;Jawa Timur;Jawa;-;0;0
484;Kota Surakarta;Jawa Tengah;Jawa;-;0;0
485;Kota Tangerang Selatan;Banten;Jawa;Ciputat;0;0
486;Kota Tangerang;Banten;Jawa;-;0;0
487;Kota Tanjung Pinang;Kepulauan Riau;Sumatera;-;0;0
488;Kota Tanjungbalai;Sumatera Utara;Sumatera;-;0;0
489;Kota Tarakan;Kalimantan Utara;Kalimantan;-;0;0
490;Kota Tasikmalaya;Jawa Barat;Jawa;Tasikmalaya;0;0
491;Kota Tebing Tinggi;Sumatera Utara;Sumatera;-;0;0
492;Kota Tegal;Jawa Tengah;Jawa;-;0;0
493;Kota Ternate;Maluku Utara;Kepulauan Maluku;Ternate;0;0
494;Kota Tidore Kepulauan;Maluku Utara;Kepulauan Maluku;Soasiu;0;0
495;Kota Tomohon;Sulawesi Utara;Sulawesi;-;0;0
496;Kota Tual;Maluku;Kepulauan Maluku;-;0;0
497;Kota Yogyakarta;Yogyakarta;Jawa;Kecamatan Umbulharjo;0;0
